"Type",Input từ bố mẹ,Nhận định về nhu cầu,Recommendations
Giáo trình,"Việc lựa chọn giáo trình: Đa số phụ huynh sẽ không đủ knowledge để đánh giá giáo trình nào tốt hơn để cho con học, thường sẽ based theo giáo trình trên lớp hoặc trung tâm. Nên mình nghĩ bố mẹ ko cần involved vào việc chọn giáo trình
"," PH mong muốn có một giải pháp học tập tự động và thông minh, show được cho phụ huynh sự uy tín để phụ huynh không cần tham gia quá nhiều vào việc học của con",
,"Thực ra việc làm ra robot thì tính thương mại phải có, phải có đặc trưng riêng và robot. Giáo trình nào cũng có ưu và nhược, và robot có tính ưu điểm hơn các app khác. 

Nếu lấy giáo trình sẵn có thì tính thương hiệu, tính đặc trưng sẽ ko có nên là nên xây dựng 1 giáo trình riêng ko phụ thuộc bất kì giáo trình nào khác như là bộ sách trước đây step up đã xây dựng như vậy","PH cần sự đổi mới, sự đột phá, khác với các giáo trình trên lớp, trường, trung tâm... Phải có phương pháp độc lạ như các sản phẩm cũ của Step Up","Chunking, scaffolding, storytelling, lồng tiếng, truyện chêm (level càng cao thì chêm càng ít), role-play, visual learning, physic response (ví dụ học từ jump thì học sinh phải nhảy)"
,"Ngoài việc học thì robot không nên đặt nặng học theo giáo trình mà mình nghĩ robot nên giống như một người bạn, chia sẻ được với con về chủ đề con thích. Robot nên tâm sự với con, hỏi về ngày hôm nay của con vào 5-10p đầu buổi học, sau đó mới cho con học thì từ đó, con mới cảm thấy như đang học cùng 1 người bạn chứ không phải học cùng 1 robot dạy học.
","Robot nên là 1 người bạn chứ không phải một người dạy. 

PH yêu cầu cao tính tương tác với trẻ trong cuộc sống hằng ngày, robot biết lắng nghe và hiểu được cảm xúc của trẻ",
,"theo mình bố mẹ không cần chọn giáo trình cụ thể, nhưng có thể chọn level phù hợp. Robot nên thiên về giao tiếp, đối dáp, debate,.... Là phần việt nam mình đang vẫn bị yếu hơn so với ngữ pháp. Robot nên có phần sửa phát âm và chấm điểm phát âm
",Robot cần thiên giao tiếp nhiều hơn là ngữ pháp,
Ngôn ngữ giảng dạy,"Học ngôn ngữ nên họ xem lẫn cả Anh - Việt- dịch xuôi- ngược được
","Cần có sự linh hoạt trong lựa chọn ngôn ngữ: Phụ huynh muốn lựa chọn giữa việc học song song tiếng Anh và tiếng Việt hoặc chỉ học tiếng Anh hoàn toàn tùy thuộc vào trình độ của con.

Chương trình học linh hoạt theo level: Có thể điều chỉnh mức độ tiếng Anh trong chương trình học dựa trên trình độ của trẻ, từ đó giúp học sinh phát triển dần dần, không cảm thấy quá tải nhưng cũng không bị thiếu thử thách.",
,"2. Mình thì muốn có lựa chọn hoàn toàn tiếng Anh tùy theo level của học sinh.
",,
,"Mình nghĩ có setting cho phụ huynh tuỳ chọn level cho con.
",,
,"Chị nghĩ phần truyện chêm thì tùy level, các con base kém thì có chêm tiếng Anh trong truyện tiếng Việt để các con tiếp cận và hiểu dễ hơn, base càng tốtt thì tần suất chêm càng ít hơn, khi con có đủ vốn tiếng Anh rồi thì từ mới nên được giải thích hoàn toàn bằng các cụm đơn giản tiếng Anh
",,
,"Hoặc chọn nguyên TA, hoặc song song
",,
Phương pháp học cụm,"Học cụm rất ok nhé ạ
","PH prefer các phương pháp độc đáo, kèm theo repetition liên tục để đảm bảo con nhớ được cụm mới
(yêu cầu chủ chốt vẫn là làm sao để nhớ được từ mới)","Về repetition thì có thể tham khảo Ebbinghous forgetting curve để tích hợp thời điểm vàng (SPACED REPETITION) nhắc lại kiến thức cũ, giúp trẻ nhớ từ lâu hơn (cái này đã được app Anki áp dụng)
Minh họa ví dụ thực tế về thời điểm vàng:
Giả sử trẻ học từ ""apple"" (quả táo) vào ngày thứ Hai:

Lần 1 (24 giờ): Ngày thứ Ba, nhắc lại từ ""apple"", yêu cầu trẻ đọc và viết lại
Lần 2 (2-3 ngày sau): Ngày thứ Năm, cho trẻ dùng từ ""apple"" trong câu hoặc chơi trò chơi liên quan đến từ này
Lần 3 (1 tuần): Ngày Chủ Nhật, yêu cầu trẻ miêu tả quả táo bằng tiếng Anh hoặc vẽ hình minh họa
Lần 4 (1 tháng): Lặp lại từ trong ngữ cảnh mới, ví dụ: viết một câu chuyện ngắn hoặc tạo đoạn hội thoại

=> VỪA RÚT NGẮN SỐ LẦN ÔN LẠI TĂNG TÍNH HIỆU QUẢ CHO VIỆC HỌC"
,"Học cụm rất ổn. Nhà mình hay nói với nhau như vậy
",,
,"Bé 4t nhà mình từ bé toàn học theo cụm thôi ạ
",,
,"Cần nhắc đi nhắc lại cụm mới nhiều lần, chèn vào game, truyện, v..v thật nhiều để con nhớ được tốt hơn
",,
,"Học cụm ổn ạ, bé tiếp thu nhanh và làm quen với từ mới cũng tốt
",,
Báo cáo tiến độ,"Mình cũng mong muốn có phần báo cáo tiến độ học theo tuần và theo tháng, chỉ ra phần con đã làm đc ( để  khuyến khích) và phần con cần luyện tập thêm. Ngoài ra có thể có thêm phần set mục tiêu để biết đã đạt đc bao nhiêu % mục tiêu.
","Báo cáo tiến độ cần chi tiết: 
+ Tiến độ nhanh/chậm so với chương trình và phần thưởng/giải pháp
+ Có bảng xếp hạng hoặc the like để tăng tính cạnh tranh của con
+ Hiện con đã hoàn thành bao nhiêu% khóa học",
,"Có thưởng sao sau mỗi bài học (1 sao nếu chưa tốt, 2 sao nếu tạm ổn và 3 sao nếu xuất sắc), kết hợp với bảng xếp hạng giữa các users để con có động lực tiến lên thứ hạng cao hơn",,"Ngoài thưởng sao thì có thể thưởng những bạn rank cao 1 số quyền lợi đặc biệt như được chơi tựa game mới trong thời gian giữ được rank cao, được nghe bài hát mới, sưu tầm được thẻ bài/ thú cưng mới, v v ...

Ngoài BXH có thể mở events để users thi đua với nhau, các bạn điểm cao nhất sẽ được tặng quà."
,"Nên cho cả tiến độ học tập, robot xác định tuổi của con, trình độ của con và track xem con sẽ học lộ trình này trong thời gian dự kiến là bao nhiêu? Nếu như con học chậm hơn hoặc nhanh hơn so với tiến độ thì cần phải báo cáo phụ huynh, đưa ra giải pháp khắc phục hoặc có phần thưởng lôi cuốn cho các con học nhanh
",,
,"Mình cũng mong muốn có báo cáo detail các phần con chưa hoàn thành tốt, mức độ như nào. Cần cải thiện như nào.
",,
Có app đi kèm,"Mình nghĩ nên có app đi kèm ạ. Tâm lý mua hàng của bố mẹ khi bỏ ra số tiền lớn để mua 1 con robot, họ sẽ ok hơn với việc có app đi kèm để bổ trợ.
","Phụ huynh yêu cầu một ứng dụng đi kèm tiện lợi, không quá nặng nề như sách vở, nhưng vẫn có thể giúp theo dõi tiến độ học tập và cung cấp các tài nguyên bổ sung. 

Nếu quá nặng về sách vở thì sẽ mất tính thương hiệu với thị trường (bị giống app khác/ sách vở truyền thống) và tính gây hứng thú với trẻ
",
,"Để con học được kiến thức mới, để học và muốn thu hoạch đc kiến thức thì cần ghi chép và tổng hợp lại nội dung đã học bằng dạng ghi chép.
",,
,"Chị ngược lại ko có nhu cầu app, nhiều môn trên lớp con có app và con chỉ mải xem trong app chứ ko để ý nghe luôn, và phức tạp cho sử dụng ko chủ động con tự học dc. Chị muốn con học qua sách vở, hoặc nếu thêm 1 ít hình ảnh khó hiện lên màn hình robot thay vì phải thêm 1 thiết bị nữa
",,
,"Em cũng không có nhu cầu app ạ, chỉ mong muốn robot có thể nói chuyện cùng con",,
"Tính hài hước, mức độ cá nhân hóa và độ nhạy/thông minh của robot

Gamification, stories, music....",,"PH muốn robot không chỉ đơn giản là công cụ học tiếng Anh, mà còn là người bạn đồng hành trong suốt quá trình học tập của trẻ, với các tính năng học đa dạng và bền vững.

Robot cần tích hợp cả giải trí + học tập.","Phần game có thể kết hợp tựa game viral với trẻ (con gái thì thời trang, trang điểm, con trai thì roblox, game chiến thuật). 
Game thú cưng, skin nhân vật..."
,"Không cần theo trend nhưng đồ họa hình ảnh phải vui nhộn hài hước thì tệp học sinh tiểu học mới cảm thấy hứng thú
",,
,"Phần giải trí nên có phần lồng tiếng nhân vật, ban đầu là cho bạn nghe 1 đoạn hoạt hình hoặc phim ảnh nước ngoài, sau đó yêu cầu bạn lồng tiếng 1 nhân vật trong đoạn phim đã cắt tiếng nhân vật đó, và lấy record để chấm, chữa lỗi phát âm của bạn
",,
,"Nếu con chơi game tiếng Anh, hoặc đọc truyện tiếng Anh thì vẫn tính đó là thời gian học của con, chứ đừng ép buộc con phải nói hoặc học từ mới mới là hoàn thành nhiệm vụ ngày hôm đó
",,"Phần English stories có thể khai thác theo truyện cười siêu ngắn giống báo HOA HỌC TRÒ, vì trẻ thường thích ít chữ hơn là nhiều từ dài dòng 
Nếu truyện dài thì có thể kết hợp đồ họa đẹp để khai thác giống như truyện tranh chứ không phải truyện chữ"
,"Robot không chỉ cần hiểu từ ngữ mà con nói, mà  còn phải hiểu LỆNH (nghĩa là bình thường format bài tập sẽ kiểu robot hỏi 1 vấn đề và con trả lời, nhưng nếu có cả format bài tập chọn đáp án đúng, chọn hình ảnh bên trái hoặc hình bên phải thì khi con nói I choose the LEFT Picture / RIGHT Picture, robot vẫn phải hiểu)
",,
,"PH muốn có tính năng Reminder như Duolingo nhưng theo hình thức voice ( phụ huynh set giờ học cho con, đến giờ học thì robot gọi học sinh học và khóc nhè nếu học sinh không học)
","PH cần robot thiết lập 1 thói quen, tính tự giác và kỉ luật cho con mình, PH muốn không cần bản thân phải involve quá nhiều vào việc học của con mà con vẫn có thể tự build self-independence và discipline.

PH muốn thông qua emoji khóc nhè, làm nũng hoặc buồn bã, con có thể đồng cảm và qua việc học, con được rèn cả tính cách giúp đỡ người khác.","Có thể tham khảo tính năng Streak của Duolingo. 

Nếu con không học 1 ngày => mất chuỗi => robot giận dỗi=> mất thưởng và có thể bị trừ điểm trên BXH"
Nội dung học,"ko theo trend, vì rất nhiều trend vớ vẩn chúng nó toàn theo khía cạnh láo nháo của trend chứ ko phải khía cạnh hay
","PH có thể cảm thấy rằng nhiều xu hướng chỉ tập trung vào sự giải trí mà thiếu yếu tố giáo dục, khiến trẻ không thực sự học hỏi và phát triển kỹ năng lâu dài.

PH yêu cầu một chương trình học có giá trị về giáo dục nhưng không kém phần thú vị với trẻ, giúp trẻ theo sát được mục tiêu giáo dục lâu dài.

PH không muốn trẻ bị ảnh hưởng bởi các xu hướng học theo kiểu ""đơn giản"" hoặc ""mì ăn liền"", mà thay vào đó muốn một chương trình học sâu sắc và bền vững.",
,"Trend thì tạo sự hấp dẫn nhưng cách tiếp cận và khai thác cái trendy topic đó mới quan trọng ạ. Khai thác các sự kiện thời sự/nổi bật cũng là một cách hay để học.
",,
,"Theo sở thích thì ổn ạ, còn theo trend thì e thấy chưa phù hợp
",,
,"ko chần theo trend, chỉ cần theo những chủ đề con yêu thích là được
",,
,"K theo trend nhưng nên có những chủ đề gần gũi vs con, như bé nhà mình thích nói về ninja turtle hay ninja go vs thầy. cảm giác khi nói chuyện vs ng hiểu sở thích của mình cũng rất vui.",,
